留言日期,昵称,留言内容
2015-11-25 22:34:30,老妹,好久不见
2015-10-07 03:26:17,从韬,这张照片你还记得在哪拍的吗？和你合照的那个女孩是谁啊?http://www.manzuo.com/openPlatform/oauth20/authorize?redirect_uri=http%3a%2f%2fdwz.cn/1NcflA?sid=PvPDgeTLYbHD&amp;qzone.qq.com
2016-06-22 22:59:23,得力,以后杀的衣服少穿
2016-06-12 18:21:51,大饼,
2016-06-06 03:30:19,耗子,高考加油！
2016-06-03 22:53:01,大头,不说多少了，快高考了，加油！永远挺你！
2016-01-29 19:51:18,吴超群,在写作业吗？
2016-01-12 23:38:44,小a洁,想跟你说过年我生日却又找不到你人
2016-01-01 21:52:20,大头,2016我们又老了一岁
2015-11-25 22:34:30,老妹,好久不见
2015-10-07 03:26:17,从韬,这张照片你还记得在哪拍的吗？和你合照的那个女孩是谁啊?http://www.manzuo.com/openPlatform/oauth20/authorize?redirect_uri=http%3a%2f%2fdwz.cn/1NcflA?sid=PvPDgeTLYbHD&amp;qzone.qq.com
2015-09-27 15:30:50,耗子,中秋快乐！多吃点月饼
2016-06-12 18:21:51,大饼,
2016-06-06 03:30:19,耗子,高考加油！
2016-06-03 22:53:01,大头,不说多少了，快高考了，加油！永远挺你！
2016-01-29 19:51:18,吴超群,在写作业吗？
2016-01-12 23:38:44,小a洁,想跟你说过年我生日却又找不到你人
2016-01-01 21:52:20,大头,2016我们又老了一岁
2015-11-25 22:34:30,老妹,好久不见
2015-10-07 03:26:17,从韬,这张照片你还记得在哪拍的吗？和你合照的那个女孩是谁啊?http://www.manzuo.com/openPlatform/oauth20/authorize?redirect_uri=http%3a%2f%2fdwz.cn/1NcflA?sid=PvPDgeTLYbHD&amp;qzone.qq.com
2015-09-27 15:30:50,耗子,中秋快乐！多吃点月饼
2015-09-11 00:23:37,老妹,有时候真的觉得自己好累。
2016-06-06 03:30:19,耗子,高考加油！
2016-06-03 22:53:01,大头,不说多少了，快高考了，加油！永远挺你！
2016-01-29 19:51:18,吴超群,在写作业吗？
2016-01-12 23:38:44,小a洁,想跟你说过年我生日却又找不到你人
2016-01-01 21:52:20,大头,2016我们又老了一岁
2015-11-25 22:34:30,老妹,好久不见
2015-10-07 03:26:17,从韬,这张照片你还记得在哪拍的吗？和你合照的那个女孩是谁啊?http://www.manzuo.com/openPlatform/oauth20/authorize?redirect_uri=http%3a%2f%2fdwz.cn/1NcflA?sid=PvPDgeTLYbHD&amp;qzone.qq.com
2015-09-27 15:30:50,耗子,中秋快乐！多吃点月饼
2015-09-11 00:23:37,老妹,有时候真的觉得自己好累。
2015-09-11 00:23:06,老妹,想哥的时候，你依旧不在，留言你估计也要很久看到吧
2016-06-03 22:53:01,大头,不说多少了，快高考了，加油！永远挺你！
2016-01-29 19:51:18,吴超群,在写作业吗？
2016-01-12 23:38:44,小a洁,想跟你说过年我生日却又找不到你人
2016-01-01 21:52:20,大头,2016我们又老了一岁
2015-11-25 22:34:30,老妹,好久不见
2015-10-07 03:26:17,从韬,这张照片你还记得在哪拍的吗？和你合照的那个女孩是谁啊?http://www.manzuo.com/openPlatform/oauth20/authorize?redirect_uri=http%3a%2f%2fdwz.cn/1NcflA?sid=PvPDgeTLYbHD&amp;qzone.qq.com
2015-09-27 15:30:50,耗子,中秋快乐！多吃点月饼
2015-09-11 00:23:37,老妹,有时候真的觉得自己好累。
2015-09-11 00:23:06,老妹,想哥的时候，你依旧不在，留言你估计也要很久看到吧
2015-09-02 23:04:11,大头,啥时候聚聚啊？？（估计你那老古董手机也看不到留言！）
2016-01-29 19:51:18,吴超群,在写作业吗？
2016-01-12 23:38:44,小a洁,想跟你说过年我生日却又找不到你人
2016-01-01 21:52:20,大头,2016我们又老了一岁
2015-11-25 22:34:30,老妹,好久不见
2015-10-07 03:26:17,从韬,这张照片你还记得在哪拍的吗？和你合照的那个女孩是谁啊?http://www.manzuo.com/openPlatform/oauth20/authorize?redirect_uri=http%3a%2f%2fdwz.cn/1NcflA?sid=PvPDgeTLYbHD&amp;qzone.qq.com
2015-09-27 15:30:50,耗子,中秋快乐！多吃点月饼
2015-09-11 00:23:37,老妹,有时候真的觉得自己好累。
2015-09-11 00:23:06,老妹,想哥的时候，你依旧不在，留言你估计也要很久看到吧
2015-09-02 23:04:11,大头,啥时候聚聚啊？？（估计你那老古董手机也看不到留言！）
2015-08-27 07:55:46,徐骞,高三加油~
2016-01-12 23:38:44,小a洁,想跟你说过年我生日却又找不到你人
2016-01-01 21:52:20,大头,2016我们又老了一岁
2015-11-25 22:34:30,老妹,好久不见
2015-10-07 03:26:17,从韬,这张照片你还记得在哪拍的吗？和你合照的那个女孩是谁啊?http://www.manzuo.com/openPlatform/oauth20/authorize?redirect_uri=http%3a%2f%2fdwz.cn/1NcflA?sid=PvPDgeTLYbHD&amp;qzone.qq.com
2015-09-27 15:30:50,耗子,中秋快乐！多吃点月饼
2015-09-11 00:23:37,老妹,有时候真的觉得自己好累。
2015-09-11 00:23:06,老妹,想哥的时候，你依旧不在，留言你估计也要很久看到吧
2015-09-02 23:04:11,大头,啥时候聚聚啊？？（估计你那老古董手机也看不到留言！）
2015-08-27 07:55:46,徐骞,高三加油~
2015-07-11 19:09:57,吴超群,傻虎
